"","subject","block","...1","group","Congruent","Incongruent","Total","TP","CP","IP","sex","sprache","age","study","study_parents","FAT1","FAT2","EN1","EN2","TE1","TE2","MWP","MSC","sum_inc","sum_con","sum_all","interference"
"25","A10G8U9316K46H",4,19,"low",15,9,24,0.258064516129032,0.288461538461538,0.219512195121951,1,1,31,2,1,4.4,4.2,8.8,7.8,4.8,5.2,2.83333333333333,3,315,446,761,-0.0588235294117647
"26","A10G8U9316K46H",5,20,"low",21,14,35,0.35,0.375,0.318181818181818,1,1,31,2,1,4.4,4.2,8.8,7.8,4.8,5.2,2.83333333333333,3,315,446,761,-0.0769230769230769
"27","A10G8U9316K46H",6,21,"low",27,15,42,0.385321100917431,0.442622950819672,0.3125,1,1,31,2,1,4.4,4.2,8.8,7.8,4.8,5.2,2.83333333333333,3,315,446,761,-0.0149253731343284
"28","A10G8U9316K46H",7,22,"low",25,14,39,0.325,0.373134328358209,0.264150943396226,1,1,31,2,1,4.4,4.2,8.8,7.8,4.8,5.2,2.83333333333333,3,315,446,761,-0.037037037037037
"29","A10G8U9316K46H",8,23,"low",29,11,40,0.298507462686567,0.386666666666667,0.186440677966102,1,1,31,2,1,4.4,4.2,8.8,7.8,4.8,5.2,2.83333333333333,3,315,446,761,0.032258064516129
"30","A10G8U9316K46H",9,24,"low",36,24,60,0.4,0.428571428571429,0.363636363636364,1,1,31,2,1,4.4,4.2,8.8,7.8,4.8,5.2,2.83333333333333,3,315,446,761,-0.0666666666666667
"31","A10JXOU89D5RXR",1,31,"low",45,31,76,0.95,1,0.885714285714286,1,1,61,2,1,1,3.4,7.8,4.6,0,0.8,3.66666666666667,4.69230769230769,590,782,1372,1
"32","A10JXOU89D5RXR",10,40,"low",58,33,91,0.532163742690059,0.604166666666667,0.44,1,1,61,2,1,1,3.4,7.8,4.6,0,0.8,3.66666666666667,4.69230769230769,590,782,1372,0.05
"33","A10JXOU89D5RXR",11,41,"low",54,38,92,0.46,0.482142857142857,0.431818181818182,1,1,61,2,1,1,3.4,7.8,4.6,0,0.8,3.66666666666667,4.69230769230769,590,782,1372,-0.0740740740740741
"34","A10JXOU89D5RXR",12,42,"low",37,33,70,0.291666666666667,0.276119402985075,0.311320754716981,1,1,61,2,1,1,3.4,7.8,4.6,0,0.8,3.66666666666667,4.69230769230769,590,782,1372,-0.141176470588235
"35","A10JXOU89D5RXR",13,43,"low",47,43,90,0.3,0.279761904761905,0.325757575757576,1,1,61,2,1,1,3.4,7.8,4.6,0,0.8,3.66666666666667,4.69230769230769,590,782,1372,-0.152380952380952
"36","A10JXOU89D5RXR",14,44,"low",52,67,119,0.2975,0.232142857142857,0.380681818181818,1,1,61,2,1,1,3.4,7.8,4.6,0,0.8,3.66666666666667,4.69230769230769,590,782,1372,-0.224199288256228
